380 6.04999720618854E-24
400 1.0893103182854E-23
420 3.67917967079418E-23
440 1.36017282525383E-22
460 3.73735792971477E-22
480 7.51469261186479E-22
500 1.18257044868557E-21
520 1.79953556347172E-21
540 2.88048754046166E-21
560 3.88981479760571E-21
580 4.57997871538082E-21
600 5.09027352924287E-21
620 4.0030863998631E-21
640 2.95965464815758E-21
660 2.09073684368918E-21
680 1.36820899679147E-21
700 8.64349280941688E-22
720 6.15855599572905E-22
740 4.18917236558952E-22
760 2.76872520775773E-22
780 3.13148927506362E-22
