380	6.04999720618854E-24
385	5.63128808710364E-24
390	6.37119303086457E-24
395	9.93040926727483E-24
400	1.0893103182854E-23
405	1.45613806382105E-23
410	2.73584069155576E-23
415	2.73272493525925E-23
420	3.67917967079418E-23
425	6.88229484256763E-23
430	6.34510826220203E-23
435	8.6718822639457E-23
440	1.36017282525383E-22
445	1.70102948254892E-22
450	1.90909798194127E-22
455	2.06408915381352E-22
460	3.73735792971477E-22
465	3.6271000065179E-22
470	4.21773978585713E-22
475	4.60584575680881E-22
480	7.51469261186479E-22
485	8.14411830190209E-22
490	8.07522339055262E-22
495	8.84734167611993E-22
500	1.18257044868557E-21
505	1.60575752538508E-21
510	1.54475957021763E-21
515	1.63952588489707E-21
520	1.79953556347172E-21
525	2.14427839223598E-21
530	2.62577562731292E-21
535	2.82968166962191E-21
540	2.88048754046166E-21
545	3.14551726028915E-21
550	3.31405330400124E-21
555	3.5043277615423E-21
560	3.88981479760571E-21
565	4.32317712812093E-21
570	4.60931329475278E-21
575	4.7570031038151E-21
580	4.57997871538082E-21
585	4.40157474149992E-21
590	4.39683352146027E-21
595	4.69376508835705E-21
600	5.09027352924287E-21
605	5.09303097809138E-21
610	4.72371968798565E-21
615	4.31406743009557E-21
620	4.0030863998631E-21
625	3.76584427585746E-21
630	3.51159798289664E-21
635	3.25252799457143E-21
640	2.95965464815758E-21
645	2.70053589638645E-21
650	2.48382556862202E-21
655	2.28436716651676E-21
660	2.09073684368918E-21
665	1.9057000954812E-21
670	1.70080577609513E-21
675	1.51949383874537E-21
680	1.36820899679147E-21
685	1.2663174075999E-21
690	1.12540171803974E-21
695	9.84602582159865E-22
700	8.64349280941688E-22
705	7.80797137891831E-22
710	7.2232944312979E-22
715	6.92914966812787E-22
720	6.15855599572905E-22
725	5.32285644696103E-22
730	4.68132550170927E-22
735	4.30681941574933E-22
740	4.18917236558952E-22
745	4.36741466155527E-22
750	4.21853858585038E-22
755	3.25291539681547E-22
760	2.76872520775773E-22
765	2.53980768456023E-22
770	2.47714280793403E-22
775	2.826728922873E-22
780	3.13148927506362E-22
